Peer closed connection.
Connecting to 127.0.0.1:7497 clientId=80 ...
Subscribing to 7 scanner(s) in parallel: TOP_PERC_GAIN, TOP_OPEN_PERC_GAIN, HOT_BY_VOLUME, TOP_STOCK_BUY_IMBALANCE_ADV_RATIO, TOP_VOLUME_RATE, HOT_BY_OPT_VOLUME, HALTED
Observing until 15:58 ET — Ctrl-C to stop early.
[13:07:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,CCL,PUMP | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:08:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,CCL,PUMP | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:08:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,CCL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:09:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,CCL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:09:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,CCL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:10:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SLNH,NOK | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:10:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,KEP,SLNH | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:11:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,KEP,SLNH | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:11:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,KEP | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:12:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,NOK,SCO | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:12:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,NOK,POET | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:13:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,NOK,BOIL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:13:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,CCL,NOK | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:14:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,CCL,QQQI | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:14:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,CCL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
